specobjid,z,class,subclass,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
1091021239956301824,0.06457099,GALAXY,,1177.4,33.4879,-0.3034805,26.17934,34.32958,1.025134,1.311323,1.279172,0.02098229
1132807084321040384,0.05046839,GALAXY,,1177.4,35.00586,-0.3363576,38.85051,27.20902,0.7772707,0.7003518,0.9010398,0.01076256
1812827820502575104,0.121609,QSO,AGN BROADLINE,1177.4,982.1518,-8.866331,581.3185,362.11,0.3686905,0.6229115,1.689524,0.03196147
1944585334511659008,0.1188412,QSO,BROADLINE,1177.4,5024.298,-21.31766,2172.032,1147.539,0.2283979,0.528325,2.313178,0.04138075
1963742661869332480,0.2407427,QSO,BROADLINE,1177.4,1351.735,-4.530081,1134.435,1036.604,0.7668698,0.9137629,1.191549,0.03843554
2061660519714023424,0.2876647,QSO,STARBURST BROADLINE,1177.4,2066.256,-23.49095,917.9634,528.7509,0.255898,0.5760044,2.250914,0.0306989
2098831963321296896,0.05618459,GALAXY,,1177.4,36.65266,-0.3301932,9.635471,49.15621,1.341136,5.101589,3.80393,0.08578774
2101068919744784384,0.1415131,QSO,STARBURST BROADLINE,1177.4,4447.396,-15.2922,1995.165,1692.576,0.3805769,0.8483391,2.229087,0.08946528
2236171963464706048,0.09574385,QSO,BROADLINE,1177.4,640.7239,-4.365608,638.0308,307.2195,0.4794881,0.481512,1.004221,0.0190759
2357807642618914816,0.1175316,QSO,STARBURST BROADLINE,1177.4,1342.066,-9.84405,883.8357,4705.315,3.506023,5.323744,1.518456,0.01869195
2365596583107520512,0.05936958,GALAXY,,1048.342,64.0114,-0.6262717,64.98826,50.22141,0.7845697,0.7727766,0.9849687,0.01325422
2396034912281978880,0.0520518,GALAXY,,1177.4,75.40821,-0.6175584,46.94862,44.80594,0.5941785,0.9543612,1.606186,0.02022265
2506373103471323136,0.05069571,GALAXY,BROADLINE,1177.4,77.76763,-0.6958082,68.4782,80.50111,1.035149,1.175573,1.135655,0.02324224
2557013034073614336,0.1591409,QSO,AGN BROADLINE,1177.4,1350.098,-15.53182,768.8372,2110.901,1.563517,2.745576,1.756025,0.04080644
2661753336553826304,0.08180236,QSO,STARBURST BROADLINE,1177.4,2499.298,-37.89765,1084.91,486.0229,0.1944637,0.4479845,2.303692,0.03082279
439132331626752000,0.06349286,GALAXY,BROADLINE,1177.4,54.44826,-0.7344704,30.27617,55.36174,1.016777,1.828558,1.798387,0.02584593
551756132780107776,0.1206493,QSO,BROADLINE,1177.4,967.4325,-11.93238,479.8855,343.5264,0.3550909,0.7158508,2.015965,0.01723473
3105346093286713344,0.05520906,GALAXY,,1177.4,11.26082,-0.1702033,9.994534,8.95847,0.7955433,0.8963369,1.126698,0.02759658
3105387050094848000,0.05564728,GALAXY,,1177.4,36.36067,-0.2622188,8.354688,52.12804,1.433638,6.239376,4.352128,0.03198527
560785598068058112,0.07506416,QSO,STARBURST BROADLINE,1177.4,3829.025,-31.01656,1666.83,4715.926,1.231626,2.829279,2.29719,0.01333245
610391714573608960,0.1322984,QSO,BROADLINE,1177.4,1274.526,-15.90344,641.8747,445.8352,0.3498048,0.6945829,1.98563,0.0506738
610395562864306176,0.06347251,GALAXY,,1177.4,23.01826,-0.4293922,12.29553,34.77575,1.51079,2.828324,1.872083,0.07197216
620506122037520384,0.2344913,QSO,STARBURST BROADLINE,1177.4,2229.068,-17.4852,1087.688,913.5361,0.4098286,0.8398883,2.049365,0.02005281
621621026811308032,0.05744962,GALAXY,,1177.4,21.93393,-0.4409039,19.49812,16.41445,0.7483589,0.8418479,1.124925,0.02300085
1491991695498176512,0.1524794,GALAXY,,1004.098,694.1924,-3.341009,654.5754,83.56572,0.1203783,0.127664,1.060523,0.01339313
1777820200427612160,0.08424754,QSO,BROADLINE,1177.4,498.1334,-3.723757,395.2115,618.4948,1.241625,1.564971,1.260422,0.03708306
1783459586674550784,0.1244479,QSO,AGN BROADLINE,1177.4,808.6858,-5.983191,511.2833,660.315,0.8165285,1.291486,1.581678,0.06539792
2039038325670569984,0.2306872,QSO,STARBURST BROADLINE,1177.4,1004.002,-16.43305,482.856,453.1424,0.4513361,0.9384628,2.079299,0.02773762
2048050489622292480,0.1743191,QSO,STARBURST BROADLINE,1177.4,3329.567,-17.07933,1574.868,2595.664,0.7795799,1.648178,2.114187,0.04324507
2479393832660133888,0.05015523,GALAXY,,1177.4,86.44918,-0.8075885,37.38781,41.10273,0.4754554,1.099362,2.312229,0.04733186
2479394382415947776,0.1490557,QSO,STARBURST BROADLINE,1177.4,1958.264,-20.19644,942.7999,545.1528,0.2783858,0.5782274,2.077073,0.04924946
2968036050154317824,0.07390932,GALAXY,,1177.4,13.68435,-0.3610589,6.766839,12.38525,0.9050666,1.830286,2.022267,0.03424846
635096095457830912,0.060387,QSO,STARBURST BROADLINE,1177.4,1887.681,-21.58853,871.7148,1438.772,0.7621899,1.650507,2.16548,0.03116452
994257619440920576,0.1773402,QSO,BROADLINE,1177.4,2174.339,-9.267194,1347.224,6584.295,3.028183,4.887306,1.61394,0.015641
304140616311269376,0.1774282,QSO,BROADLINE,1177.4,1343.096,-6.451722,780.7585,1437.593,1.070358,1.841278,1.720245,0.03172235
313145066635945984,0.09478367,QSO,STARBURST BROADLINE,1177.4,1421.419,-11.29103,726.966,706.7639,0.4972242,0.9722104,1.955276,0.03967275
1432249185255581696,0.05120054,GALAXY,,1177.4,43.97346,-0.5443212,23.49476,38.45893,0.8745942,1.636915,1.871628,0.03028289
1712620801309566976,0.05249519,GALAXY,,1177.4,31.11092,-0.3260559,30.22437,31.65389,1.017453,1.047297,1.029332,0.05156822
2411852768282175488,0.06449452,QSO,STARBURST BROADLINE,1041.39,6220.282,-21.8575,2802.708,3867.807,0.6218057,1.380025,2.219383,0.02924547
443765673844303872,0.06703619,GALAXY,,1177.4,9.687269,-0.2016577,14.84454,17.03178,1.758161,1.147343,0.6525812,0.02934572
2850943292982454272,0.09159148,QSO,STARBURST BROADLINE,1177.4,999.2677,-8.021374,570.4431,847.1891,0.84781,1.485142,1.75174,0.05900654
552952676527138816,0.05626343,GALAXY,,1177.4,23.05058,-0.424467,25.1062,16.30448,0.7073347,0.6494203,0.9181229,0.01237072
3107646546204715008,0.05162126,GALAXY,,1177.4,60.39161,-0.4868204,23.44148,47.59574,0.7881184,2.030407,2.576271,0.01839022
557377386966968320,0.2817113,QSO,BROADLINE,1177.4,1639.537,-20.40405,706.6,776.9902,0.4739082,1.099618,2.320319,0.02384331
559700380175329280,0.1277341,QSO,BROADLINE,1177.4,2236.087,-16.60515,1256.739,1036.479,0.4635237,0.8247373,1.779278,0.03951375
575421483162036224,0.210923,QSO,BROADLINE,1177.4,1450.228,-15.90424,639.4663,601.5096,0.4147691,0.9406432,2.267872,0.04759682
595619226635495424,0.07212282,GALAXY,,1177.4,69.04453,-0.5103016,38.6208,59.9053,0.8676329,1.551115,1.787755,0.02401691
621597112433403904,0.0575438,GALAXY,,1177.4,22.86394,-0.4046791,28.76628,33.25818,1.454613,1.156152,0.7948171,0.02428407
933446652717459456,0.1516362,QSO,BROADLINE,1177.4,503.3342,-5.502056,373.9045,409.7254,0.8140226,1.095802,1.346157,0.03367133
1473924795308468224,0.05126621,QSO,STARBURST BROADLINE,1177.4,1218.343,-11.11801,612.5424,1165.69,0.9567834,1.903035,1.988993,0.01942769
1572934448989628416,0.2679094,QSO,BROADLINE,1177.4,2752.637,-14.3843,1433.392,591.0836,0.2147336,0.4123669,1.920366,0.01369871
1593187999003207680,0.1534853,QSO,STARBURST BROADLINE,1177.4,5517.438,-27.59008,2560.953,11341.38,2.055553,4.428579,2.154447,0.05673105
1597803753161910272,0.09733227,QSO,STARBURST BROADLINE,1177.4,2022.419,-11.93944,980.5318,2074.677,1.025839,2.115869,2.062574,0.0167305
1605684775098542080,0.05348795,QSO,BROADLINE,1177.4,2276.364,-15.99699,1263.183,876.6531,0.3851112,0.694003,1.802085,0.01755651
1621351992687355904,0.1548114,QSO,STARBURST BROADLINE,1177.4,3967.237,-19.68156,1952.957,846.9125,0.2134766,0.4336566,2.031401,0.01640413
2021116027600922624,0.153836,QSO,STARBURST BROADLINE,1177.4,4630.266,-13.55527,2533.496,5399.232,1.166074,2.131139,1.827619,0.03453428
2033506408229529600,0.06568477,GALAXY,,1177.4,21.2979,-0.2575647,1.348889,31.21606,1.465687,23.14205,15.78922,0.03171784
