specobjid,z,oiii_5007_flux,oiii_sigma,oi_6300_flux,h_beta_flux,h_alpha_flux,h_alpha_eqw,sii_6717_flux,sii_6731_flux,nii_6584_flux,oiii_hbeta_ratio,nii_halpha_ratio,w1,w2,w3,w1_w2,w2_w3,log_nii,log_oiii,BPT class,abs_h_alpha_eqw,WHAN class,WISE class,AGN in all,n_e,log_MBH,mbh_bin
299555373264693248,0.03036259,23.40424,45.80909,5.87573,17.53957,57.26432,-10.18318,14.30115,10.91127,5.879836,1.334368,0.1026789,15.586,15.199,12.281,0.3870001,2.918,-0.9885187925764514,0.12527561843300752,Star-forming,10.18318,Star-forming,Other,False,99.23484716215418,5.556885109037892,"(5.5, 6.0]"
299557297410041856,0.09888671,24.30521,61.25251,6.69829,49.36584,222.7212,-26.85813,41.83834,31.73342,80.86584,0.4923487,0.363081,13.922,13.63,9.962,0.2919998,3.668,-0.4399964770883609,-0.30772720445634144,Star-forming,26.85813,Star-forming,Other,False,92.88442048960877,6.064097454758544,"(6.0, 6.5]"
299559221555390464,0.1259125,80.88867,79.73035,20.6252,157.7448,655.6909,-40.14523,110.6196,83.91689,313.3217,0.5127817,0.4778497,14.174,13.883,9.966,0.2909994,3.917001,-0.32070868231063027,-0.2900674821843106,Composite,40.14523,Seyfert,Other,False,93.06893904168267,6.52438657308954,"(6.5, 7.0]"
299562245212366848,0.03587863,17.00939,35.23406,5.204991,33.75164,150.1607,-14.91901,39.06112,27.54781,54.15761,0.5039574,0.3606643,14.054,13.933,10.332,0.1210003,3.601,-0.44289684376513616,-0.29760617332998723,Star-forming,14.91901,Star-forming,Other,False,20.25550079445924,5.098649429471205,"(5.0, 5.5]"
299564169357715456,0.09001952,15.87008,57.49265,10.83336,32.73176,176.6181,-9.829779,34.1601,27.52038,95.93489,0.4848525,0.5431769,13.6,13.293,9.683,0.3070002,3.610001,-0.2650587078289016,-0.3143903607356761,Composite,9.829779,Seyfert,Other,False,161.49472229036164,5.9535009718784995,"(5.5, 6.0]"
299565818625157120,0.09826267,34.71779,71.41546,7.241577,52.01683,210.204,-26.56043,41.65935,34.42803,61.65749,0.6674337,0.2933221,14.623,14.446,10.699,0.177,3.747,-0.5326552143925486,-0.17559186877121538,Star-forming,26.56043,Star-forming,Other,False,193.12182810490927,6.332104213825579,"(6.0, 6.5]"
299567742770505728,0.07141443,22.76943,86.3103,8.414385,33.09707,109.4993,-8.422091,32.14695,18.09337,52.34507,0.687959,0.4780403,14.395,14.236,11.029,0.1590004,3.207,-0.320535489727074,-0.16243744345684044,Composite,8.422091,Seyfert,Other,False,-152.40122362580112,6.662831174540743,"(6.5, 7.0]"
299569117160040448,0.118615,28.0456,115.8002,12.11208,32.09054,133.9965,-10.1271,33.76559,26.44269,68.26641,0.8739522,0.509464,14.634,14.364,12.023,0.2699995,2.341001,-0.2928864989072614,-0.05851232004743823,Composite,10.1271,Seyfert,Other,False,128.223628110997,7.175970841490528,"(7.0, 7.5]"
299569392037947392,0.1315616,15.69489,66.03367,5.584886,50.89903,179.5962,-31.78715,32.69051,28.50644,58.15033,0.3083535,0.3237838,15.083,14.706,10.822,0.3769999,3.884001,-0.4897448842627272,-0.5109511177028622,Star-forming,31.78715,Star-forming,Other,False,265.6694702082492,6.195316466273447,"(6.0, 6.5]"
299570491549575168,0.1504413,16.05515,151.0624,10.96476,51.20065,237.9509,-19.00164,33.83809,21.1949,85.18291,0.3135733,0.3579852,14.214,13.901,10.451,0.3129997,3.45,-0.4461349278008071,-0.5036609235268975,Star-forming,19.00164,Star-forming,Other,False,-78.97495786031627,7.640068066069509,"(7.5, 8.0]"
299572415694923776,0.05195406,25.6267,86.67355,12.69689,100.7561,390.5861,-19.7645,78.33469,57.55163,151.7201,0.2543437,0.3884421,13.726,13.573,9.961,0.1529999,3.612,-0.41067370665579855,-0.5945790152141529,Star-forming,19.7645,Star-forming,Other,False,59.82225478679656,6.670163488670512,"(6.5, 7.0]"
299578463008876544,0.06147218,136.573,50.77956,10.48476,100.3149,316.7157,-35.96257,68.23723,43.28254,50.85091,1.361444,0.160557,15.275,15.08,11.741,0.1949997,3.339,-0.7943707552167455,0.13399978229650147,Star-forming,35.96257,Star-forming,Other,False,-69.41690668406243,5.736728929835962,"(5.5, 6.0]"
299581211787945984,0.08884182,59.81681,51.08683,12.23107,103.2128,403.3705,-52.10026,81.45023,66.66057,97.73875,0.5795487,0.2423052,15.037,14.872,10.9,0.165,3.972,-0.6156372655691664,-0.2369100640099433,Star-forming,52.10026,Star-forming,Other,False,180.85163859144347,5.7472614165989935,"(5.5, 6.0]"
299582036421666816,0.05720619,15.20661,1.0,9.161416,41.71413,180.8174,-15.72879,30.63698,24.20495,65.8357,0.3645434,0.3641006,14.29,14.161,10.716,0.1289997,3.445001,-0.4387786053932344,-0.4382507601896511,Star-forming,15.72879,Star-forming,Other,False,138.36673207682458,-1.1201405825692026,"(-1.5, -1.0]"
299582311299573760,0.00658949,111.5933,43.77553,13.74571,102.3102,342.8454,-27.38618,68.67606,46.67073,39.23271,1.090735,0.1144327,14.925,14.802,12.095,0.1230001,2.707,-0.941449854911154,0.03771924919768689,Star-forming,27.38618,Star-forming,Other,False,-13.084820285238113,5.47760969723423,"(5.0, 5.5]"
299583135933294592,0.09790488,18.5977,111.4416,8.882089,33.71523,174.8124,-11.62798,36.02143,19.18493,72.38217,0.5516112,0.4140563,13.716,13.439,9.751,0.2769995,3.688,-0.38294060304106486,-0.25836692442364206,Star-forming,11.62798,Seyfert,Other,False,-185.51136265543087,7.10898971922569,"(7.0, 7.5]"
299591107392595968,0.05735964,53.55283,65.40649,10.49228,106.4664,404.0885,-32.15246,86.98476,67.6757,130.4489,0.5030022,0.3228225,14.754,14.57,10.968,0.184,3.601999,-0.49103620354939476,-0.2984301154494986,Star-forming,32.15246,Star-forming,Other,False,120.80791587319422,6.178655208722021,"(6.0, 6.5]"
299591932026316800,0.06256682,46.37664,146.7962,46.53567,21.15593,133.8752,-5.136038,82.12478,66.47538,138.9239,2.192134,1.037712,13.435,13.173,11.241,0.2620001,1.932,0.016076838901943214,0.3408670980248602,LINER,5.136038,Weak AGN,Other,False,167.23232864794622,7.590052967617556,"(7.5, 8.0]"
299593581293758464,0.1353705,26.49664,65.65222,18.119,129.7674,600.7238,-27.02338,94.465,68.57773,234.5796,0.2041856,0.390495,13.501,13.121,9.262,0.3800001,3.859,-0.40838452257108937,-0.6899748893845511,Star-forming,27.02338,Star-forming,Other,False,47.936946980429916,6.18520207033146,"(6.0, 6.5]"
299594680805386240,0.04570889,37.4241,76.43527,26.07836,113.9731,586.3332,-20.06369,103.7957,83.99057,269.3496,0.328359,0.4593797,13.022,12.87,8.991,0.1520004,3.879,-0.3378282002005777,-0.4836510756249922,Star-forming,20.06369,Seyfert,Other,False,166.85175692679215,6.450700509583197,"(6.0, 6.5]"
299597154706548736,0.1225,452.449,178.6427,30.3217,121.3313,576.2369,-45.01684,109.2755,110.1778,520.5421,3.729037,0.9033474,13.728,12.891,9.229,0.8369999,3.662,-0.04414520108346983,0.5715966925101705,Seyfert,45.01684,Seyfert,Other,False,512.5838693776521,7.932840219014364,"(7.5, 8.0]"
299600178363525120,0.03801033,107.3838,81.41341,13.24785,214.1007,993.2001,-28.12145,112.4541,83.85831,380.6035,0.5015574,0.3832093,12.964,12.797,8.952,0.1669998,3.845,-0.4165639596935158,-0.2996793576051705,Star-forming,28.12145,Star-forming,Other,False,75.01760315486904,6.560857118519394,"(6.5, 7.0]"
299602377386780672,0.1232092,35.29883,83.12574,9.204659,20.05196,102.78,-6.221416,41.83678,28.2061,74.64108,1.760368,0.7262216,14.002,13.783,11.229,0.2189999,2.554,-0.13893083801566047,0.24560346535004524,LINER,6.221416,Seyfert,Other,False,-19.94518076617198,6.597196225898497,"(6.5, 7.0]"
299602927142594560,0.0374546,197.4061,44.80376,9.143567,214.1368,725.4607,-99.42471,103.9901,72.2782,161.5144,0.921869,0.222637,15.093,14.767,11.913,0.3260002,2.854,-0.6524026586872355,-0.03533078894553549,Star-forming,99.42471,Star-forming,Other,False,6.881886938504423,5.518143555410833,"(5.5, 6.0]"
299604851287943168,0.05329375,21.92434,54.92967,5.910673,61.06378,267.5282,-22.5703,55.09375,37.57005,86.58644,0.35904,0.3236535,14.072,13.953,10.5,0.1189995,3.453,-0.4899196921453006,-0.4448571647599514,Star-forming,22.5703,Star-forming,Other,False,-10.074243272594885,5.873883516933209,"(5.5, 6.0]"
299607050311198720,0.1222728,50.93515,180.2015,16.807,43.1407,196.0961,-17.44896,36.30586,36.36559,132.1341,1.180675,0.6738235,14.46,14.229,11.262,0.2309999,2.967,-0.1714538468094046,0.07213036744318266,Composite,17.44896,Seyfert,Other,False,499.42092471552843,7.948008192393028,"(7.5, 8.0]"
299607600067012608,0.02524959,49.28839,82.53763,19.15328,70.19812,374.9436,-9.190491,82.4512,54.95967,198.3827,0.7021326,0.5291001,11.571,11.412,7.727,0.1590004,3.684999,-0.2764621563862118,-0.15358086221468106,Composite,9.190491,Seyfert,Other,False,-29.580390857070277,6.584800434566743,"(6.5, 7.0]"
299608149822826496,0.1224014,8.712358,41.14042,10.53035,33.42539,133.9608,-12.96075,18.99733,18.13108,75.26357,0.2606509,0.5618328,14.547,14.206,10.831,0.3409996,3.375,-0.25039291012698545,-0.5839407711614436,Composite,12.96075,Seyfert,Other,False,409.084654812686,5.3692196761193625,"(5.0, 5.5]"
299608424700733440,0.07998672,34.14091,45.47146,6.055596,53.30949,198.1381,-25.19152,44.30919,36.82865,51.09724,0.6404282,0.257887,15.152,14.924,11.536,0.2280006,3.388,-0.5885705499542089,-0.19352955302577488,Star-forming,25.19152,Star-forming,Other,False,200.48222114294876,5.543969790521425,"(5.5, 6.0]"
