RAJ2000,DEJ2000,plate,fiberid,mjd,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,specobjid,z,h_beta_flux,fwhm_hbeta
196.78653,34.40607,2006,618,53476,-23.69,45.554,0.001,42.73,0.02,3347.1,600.7,65.5,2.7,36.06,8.25,0.16,-0.8,2258725145990424576,0.1863378,1308.8,1177.4
196.80522,-0.60046,294,194,51986,-22.82,44.973,0.005,42.3,0.03,2350.9,189.0,95.5,6.1,19.9,7.66,0.07,-0.78,331067932245256192,0.1701931,1226.009,1177.4
196.87508,9.3681,1796,199,53884,-23.42,45.45,0.003,42.71,0.02,7132.3,432.6,77.8,6.0,30.27,8.86,0.05,-1.51,2022170998555568128,0.2568817,231.5889,1177.4
196.96941,60.43016,958,415,52410,-23.25,45.347,0.003,42.49,0.03,7660.5,258.2,60.9,4.3,22.21,8.87,0.03,-1.62,1078726225519732736,0.2549202,205.4912,1177.4
196.98573,1.11934,294,528,51986,-24.18,45.672,0.002,43.01,0.02,4799.4,489.0,98.2,4.9,35.73,8.62,0.09,-1.05,331159741466175488,0.2754462,556.1118,1177.4
197.07875,3.74367,850,248,52338,-23.93,45.55,0.016,42.94,0.02,2893.7,90.6,108.6,6.1,35.93,8.12,0.03,-0.68,957083129762310144,0.2273587,1162.181,1177.4
197.08409,27.71761,2242,588,54153,-22.67,45.145,0.004,41.96,0.07,4857.7,573.7,32.3,5.9,19.76,8.37,0.1,-1.33,2524429289026250752,0.237003,126.2934,1177.4
197.15657,4.54377,850,234,52338,-23.18,45.278,0.005,42.52,0.02,3559.0,156.9,81.1,5.2,20.42,8.17,0.04,-0.99,957079281471612928,0.2957134,245.6323,1177.4
197.18277,19.07772,2617,143,54502,-23.67,45.594,0.001,42.82,0.05,1799.6,403.5,71.9,6.4,46.47,7.73,0.19,-0.24,2946519439278893056,0.2217153,1593.179,1177.4
197.31,34.75292,2016,86,53799,-22.99,45.169,0.006,42.46,0.02,3201.2,197.7,87.5,5.0,19.25,8.02,0.05,-0.95,2269837915431397376,0.1946741,645.0529,1177.4
197.35675,12.72747,1696,549,53116,-22.73,45.134,0.003,42.28,0.02,2226.6,199.5,62.2,2.9,18.76,7.69,0.08,-0.66,1909677202253834240,0.2204827,475.9464,1177.4
197.36531,3.38105,525,329,52295,-22.61,44.99,0.011,42.27,0.03,8903.4,351.0,86.9,8.8,15.88,8.82,0.03,-1.93,591187924427499520,0.2657584,46.96118,1177.4
197.44583,8.33006,1795,457,54507,-24.48,45.762,0.001,43.16,0.0,4387.9,251.5,106.5,1.6,49.37,8.59,0.05,-0.93,2021116027600922624,0.153836,4630.266,1177.4
197.53333,63.68432,602,91,52072,-22.68,45.104,0.002,41.9,0.05,1491.2,787.0,28.0,3.3,22.08,7.33,0.46,-0.32,677816792571209728,0.1925539,408.8541,767.6327
197.82724,46.58397,1461,358,53062,-22.81,45.288,0.003,41.84,0.16,4090.5,7686.4,16.6,4.7,17.77,8.29,1.63,-1.11,1645038221559621632,0.2715686,97.5112,446.8159
197.89859,14.41311,1772,77,53089,-22.5,45.036,0.003,42.32,0.04,1960.3,319.0,85.4,7.9,35.49,7.53,0.14,-0.59,1995115852348811264,0.1139307,3027.972,1177.4
