specobjid,class,subclass,fwhm_hbeta,fwhm_oiii,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_eqw,h_beta_flux,h_beta_flux_err,h_beta_eqw,h_alpha_flux,h_alpha_flux_err,h_alpha_eqw,nii_6584_flux,nii_6584_flux_err,nii_6584_eqw,oiii_hbeta_ratio,nii_halpha_ratio
2572721756263442432,GALAXY,,191.3413,190.3583,92.56021,7.087831,-0.8658299,88.01129,5.725039,-0.5278586,455.3201,11.40328,-3.393051,349.4336,11.69534,-2.575255,1.051686,0.767446
2575004067608684544,GALAXY,STARFORMING,313.7913,304.2245,97.89893,7.373199,-0.999732,421.9171,8.194446,-4.274853,2211.219,19.01942,-22.54887,1110.188,13.04075,-11.11844,0.2320336,0.5020707
2741685634396612608,GALAXY,BROADLINE,274.2609,348.9307,52.40072,4.757541,-0.8621678,25.63483,4.156161,-0.2160727,83.1479,6.084855,-1.06982,113.3515,6.366022,-1.395814,2.044122,1.363251
2742806865170688000,GALAXY,BROADLINE,2.3548,124.4636,58.12259,4.237918,-0.8799418,18.79779,2.944084,-0.1847702,55.33094,2.932251,-0.8594939,23.86265,3.799834,-0.529114,3.091991,0.4312713
1829674537596250112,GALAXY,,309.7043,290.0476,164.0984,17.01678,-0.6698524,84.0078,14.24271,-0.3458384,228.567,20.54951,-0.8626822,216.8859,21.29012,-0.8924072,1.953371,0.9488944
1863508990709753856,GALAXY,STARBURST,262.1102,296.0538,642.9219,13.53332,-4.142619,2184.1,20.75547,-13.17945,13121.21,82.791,-74.89487,7064.974,43.07296,-40.33752,0.2943648,0.5384391
1863540326791145472,GALAXY,STARFORMING,273.9065,237.2587,1719.03,16.74709,-19.79221,942.7699,12.60561,-10.66314,4338.363,30.58262,-56.22801,2433.037,17.06159,-28.95693,1.823382,0.5608191
1928745769465047040,GALAXY,,442.3165,400.1635,118.6641,8.945068,-1.196185,74.73403,8.501215,-0.8000648,144.7721,11.20957,-1.189137,126.4157,10.51282,-1.095972,1.587819,0.8732048
1929895853493872640,GALAXY,AGN,100.1369,146.9918,568.8781,13.91887,-3.425412,150.6886,8.179737,-0.6801592,468.9442,13.54809,-2.693717,389.582,13.70814,-2.162483,3.77519,0.8307641
1969237751173769216,GALAXY,STARFORMING,188.62,190.8134,1497.241,13.60674,-16.19048,930.8931,9.209734,-9.972195,3395.386,22.87962,-40.57403,927.0194,9.233837,-11.18534,1.608392,0.2730232
1969246547266791424,GALAXY,STARBURST,144.615,128.5704,1908.705,14.15564,-39.61769,1122.382,8.843272,-21.92541,3673.269,22.30405,-117.458,577.8633,4.923454,-18.4147,1.700584,0.1573158
1969283380906321920,GALAXY,,88.26363,103.3725,45.7244,4.629685,-0.57339,50.10802,3.699046,-0.6806625,144.1417,6.250373,-1.355901,106.1722,6.783274,-0.9402319,0.9125164,0.736582
1969295750412134400,GALAXY,BROADLINE,139.0326,146.6121,39.61546,3.903299,-0.5580737,23.39247,2.625319,-0.2738656,51.15091,3.172815,-1.007671,86.50161,4.021763,-1.714135,1.693514,1.691106
1969337531853989888,GALAXY,AGN,292.6319,329.218,66.67204,4.432194,-1.228334,48.74186,3.915164,-0.7189765,161.1745,5.904143,-2.500239,194.1384,5.975096,-2.859649,1.36786,1.204523
2016528586168625152,GALAXY,STARBURST,168.2193,212.9207,217.0428,7.092489,-2.225517,1590.361,14.42586,-14.09349,6869.823,47.78219,-65.03893,2560.177,18.32105,-24.00518,0.1364739,0.37267
2016615997343033344,GALAXY,BROADLINE,400.1634,394.6132,78.20817,5.792908,-1.118345,57.08677,5.991085,-0.6233604,146.7261,8.852008,-1.475526,222.1381,8.506352,-2.221985,1.369988,1.513964
2017753717066983424,GALAXY,,455.2577,484.6963,217.096,19.76983,-0.9500229,175.6439,18.15182,-0.6588032,459.7046,28.93589,-1.520649,239.7997,26.18293,-0.8827795,1.236001,0.5216388
2188792631524354048,GALAXY,BROADLINE,260.7024,312.0624,64.77869,6.509678,-0.7504936,26.78898,5.078556,-0.1386751,113.0859,8.182983,-1.153461,139.0237,8.845686,-1.342108,2.41811,1.229363
2188856128320858112,GALAXY,BROADLINE,204.0925,290.9697,47.74178,5.322879,-0.7405967,30.08989,4.498259,-0.2558389,72.51556,6.201178,-0.9590639,63.20735,6.392744,-0.8025793,1.586638,0.8716384
2189913858540333056,GALAXY,STARBURST,81.60913,69.31211,3133.1,31.77664,-28.36881,1413.284,15.6532,-11.82369,4369.396,38.36679,-61.22214,429.6342,7.587276,-6.196165,2.216893,0.09832805
2191148610853300224,GALAXY,STARFORMING,132.2501,149.6353,1515.987,20.63433,-9.687631,435.0816,10.38026,-2.500293,1567.432,21.48231,-10.06268,552.7787,13.55123,-3.466508,3.484373,0.3526653
2235029570145249280,GALAXY,STARBURST,127.1168,120.3118,3540.069,32.52566,-44.71996,1359.237,14.14422,-16.6768,4496.629,33.83167,-79.54417,487.6565,6.994235,-8.971969,2.604454,0.1084493
2235035342581295104,GALAXY,BROADLINE,479.0014,488.1864,124.4137,10.89709,-0.9949959,81.13014,11.10102,-0.4894768,206.4749,17.59041,-1.253495,197.6155,15.23564,-1.310108,1.533507,0.9570922
2237199187068348416,GALAXY,STARFORMING,181.7778,250.724,212.0179,16.22747,-0.825659,914.5603,18.12823,-3.309066,3774.398,39.88626,-18.09917,2802.572,32.3799,-12.9813,0.2318249,0.7425216
2237265707521828864,GALAXY,BROADLINE,301.4894,360.9345,184.1254,13.66364,-1.181006,77.00825,11.01353,-0.4513921,250.1758,18.25682,-1.364052,313.8684,19.1542,-1.582354,2.390982,1.254591
2237289896777639936,GALAXY,STARBURST,128.1048,125.9463,3338.761,31.16627,-34.132,2546.273,23.80511,-25.17309,8981.012,75.30372,-130.3311,1789.353,15.85407,-25.6507,1.311234,0.1992374
2238322058352158720,GALAXY,STARFORMING,214.5848,376.4545,285.5993,12.15562,-2.318313,512.2378,10.8709,-3.519567,3669.238,33.71463,-29.95253,3091.287,27.40485,-23.69385,0.5575522,0.8424875
2278975126970066944,GALAXY,BROADLINE,286.34,293.1164,175.4095,13.33588,-1.053945,91.42294,10.72725,-0.43967,288.9024,18.11338,-1.541287,311.7734,19.05791,-1.593157,1.918659,1.079165
2279949293064316928,GALAXY,STARFORMING,126.3149,118.3316,3006.97,52.04749,-16.59688,2050.18,32.34254,-10.74651,5334.317,65.04954,-41.29446,1348.687,17.3285,-10.52468,1.466686,0.2528322
2376877016092796928,GALAXY,,317.8226,282.0781,90.28316,8.763405,-0.8786923,73.25039,8.57451,-0.5898705,175.6071,12.96151,-1.323358,183.9544,12.45023,-1.34337,1.232528,1.047534
2376879215116052480,GALAXY,,408.8238,389.8252,58.93805,7.878466,-0.7316847,65.82576,8.586015,-0.6646615,136.6208,12.77046,-1.087483,135.8701,11.59498,-1.105357,0.8953645,0.9945053
2382420760212826112,GALAXY,AGN BROADLINE,242.0152,229.754,209.1131,10.86544,-1.269516,124.4478,9.257589,-0.6663957,476.8856,16.00148,-2.656513,486.6194,15.9632,-2.530746,1.680329,1.020411
2423060084700506112,GALAXY,STARFORMING,168.4894,190.3382,71.18873,5.758212,-0.7025259,92.03091,5.091664,-0.5797704,457.5656,8.89494,-4.58568,270.8259,8.255996,-2.693021,0.7735306,0.5918843
2426488361049942016,GALAXY,STARBURST,195.9194,197.393,1583.726,20.05308,-11.2948,2112.095,21.71673,-14.65793,9728.388,72.61543,-73.2923,3436.171,28.56997,-26.41735,0.7498365,0.3532107
2577353998885480448,GALAXY,STARBURST,129.5885,169.4861,239.6462,11.06635,-1.496442,2123.262,23.5152,-13.20687,11383.15,89.22208,-72.99608,4015.806,34.70883,-25.37296,0.112867,0.3527853
2578451861564581888,GALAXY,STARFORMING BROADLINE,480.1026,434.4667,39.0416,6.265159,-0.4711407,112.2152,6.516237,-1.364375,413.1414,11.34929,-4.305491,212.8029,10.33329,-2.228761,0.3479174,0.5150849
2580671225550366720,GALAXY,BROADLINE,284.7823,286.4507,381.0535,12.93414,-2.769318,104.3579,9.244693,-0.6516781,338.7103,15.14282,-2.175825,345.545,14.81748,-2.182041,3.651409,1.020179
2581785855748237312,GALAXY,AGN,243.1653,273.8852,109.7094,5.836342,-1.269549,73.4275,4.849841,-0.6399917,221.9537,7.125864,-2.631154,351.4519,8.214744,-4.01128,1.494119,1.583447
